OBJECTID,POI_ID,SUM_LENGTHKM,MIN_HYDROSEQ,MAX_STARTFLAG,MAX_SO,SUM_TRAV_TIME,MAX_CUMDRAINAG,TOCOMID2,To_POI_ID,PROD_UNIT,tosegment_orig,tosegment_comment,seg_id,tosegment,region,headwaterArea,FTYPE,TOFTYPE,regionOutlet,ToRegion,ToRegionToSegment,seg_id_nat,seg_id_reg,Shape_Length
92,976164,6.213,748700325,0,7,2.112031381,27989.253,976166,976180,11d,832,,831,832,11,2,ArtificialPath,ArtificialPath,0,,,34460,831,6212.507494
93,976180,31.383,748700303,0,7,10.42439587,28629.1935,976200,976200,11d,835,,832,835,11,2,ArtificialPath,ArtificialPath,0,,,34461,832,31383.23332
94,976192,33.041,748700070,0,7,11.69608575,30769.5132,1594255,1594255,11d,1131,,833,1131,11,2,ArtificialPath,ArtificialPath,0,,,34462,833,33040.03413
95,976196,0.053,748700155,0,4,0.053851754,1326.3912,976194,976232,11d,836,,834,836,11,2,ArtificialPath,ArtificialPath,0,,,34463,834,53.4724283
96,976200,2.847,748700299,0,7,1.085419468,28650.4371,976194,976232,11d,836,,835,836,11,2,ArtificialPath,ArtificialPath,0,,,34464,835,2846.970883
97,976232,6.357,748700151,0,7,2.104736909,29998.0323,976214,977546,11d,844,,836,844,11,2,ArtificialPath,ArtificialPath,0,,,34465,836,6356.791202
98,976234,0.92,748700118,0,3,1.259273459,278.0424,976214,977546,11d,844,,837,844,11,2,ArtificialPath,ArtificialPath,0,,,34466,837,919.2237315
99,976640,11.537,748700800,1,1,26.5616929,15.5232,976618,974520,11d,822,,838,822,11,2,StreamRiver,StreamRiver,0,,,34467,838,11537.06711
100,976706,22.352,748700261,1,3,19.96696526,184.9482,976690,977254,11d,843,,839,843,11,2,StreamRiver,StreamRiver,0,,,34468,839,22353.46565
101,977084,8.306,748700120,0,3,6.207613582,271.701,975688,976234,11d,837,,840,837,11,2,StreamRiver,StreamRiver,0,,,34469,840,8306.612271
102,977116,26.332,748700128,0,3,22.2978389,234.7524,977100,977084,11d,840,,841,840,11,2,StreamRiver,StreamRiver,0,,,34470,841,26331.57346
103,977138,33.279,748700160,0,4,21.39526205,1183.4289,977112,975692,11d,828,,842,828,11,2,StreamRiver,StreamRiver,0,,,34471,842,33278.20016
104,977254,33.411,748700214,0,4,23.82683375,496.6587,977532,977138,11d,842,,843,842,11,2,StreamRiver,StreamRiver,0,,,34472,843,33410.10905
105,977546,5.391,748700098,0,7,1.984384909,30446.4897,977550,976192,11d,833,,844,833,11,2,ArtificialPath,ArtificialPath,0,,,34473,844,5391.28446
106,977560,18.205,748700140,1,2,18.98987354,61.8408,977200,977116,11d,841,,845,841,11,2,ArtificialPath,StreamRiver,0,,,34474,845,18205.30342
107,981007,33.494,748700377,0,5,18.28823273,2375.8335,981005,981799,11d,848,,846,848,11,2,StreamRiver,StreamRiver,0,,,34475,846,33495.33834
108,981019,22.572,748700337,0,4,18.14778522,231.2343,981005,981799,11d,848,,847,848,11,2,StreamRiver,StreamRiver,0,,,34476,847,22572.35563
109,981799,17.432,748700330,0,5,9.436866384,2698.0317,981411,981801,11d,849,,848,849,11,2,StreamRiver,StreamRiver,0,,,34477,848,17433.16066
110,981801,1.945,748700327,0,5,1.152024757,2701.3563,976162,976164,11d,831,,849,831,11,2,ArtificialPath,ArtificialPath,0,,,34478,849,1946.048756
111,982269,14.936,748700349,1,4,14.857142,106.4862,982879,982977,11d,856,,850,856,11,2,StreamRiver,StreamRiver,0,,,34479,850,14936.86812
112,982369,38.546,748700427,0,5,20.63487634,1971.6822,982881,981007,11d,846,,851,846,11,2,StreamRiver,StreamRiver,0,,,34480,851,38547.17712
113,982589,23.283,748700547,1,3,22.08417116,123.8616,982597,982919,11d,854,,852,854,11,2,StreamRiver,StreamRiver,0,,,34481,852,23283.36511
114,982607,19.139,748700567,0,4,10.8811556,1223.8992,982565,982369,11d,851,,853,851,11,2,StreamRiver,StreamRiver,0,,,34482,853,19138.37316
115,982919,14.747,748700522,0,4,10.3367912,310.2399,982565,982369,11d,851,,854,851,11,2,StreamRiver,StreamRiver,0,,,34483,854,14746.16693
116,982975,37.709,748700602,0,4,23.40286588,1023.9354,982689,982607,11d,853,,855,853,11,2,StreamRiver,StreamRiver,0,,,34484,855,37709.54932
117,982977,24.265,748700341,0,4,20.20329346,177.6897,982185,981019,11d,847,,856,847,11,2,StreamRiver,StreamRiver,0,,,34485,856,24266.28253
118,984589,32.854,748700657,0,3,21.34122716,485.3997,984963,982975,11d,855,,857,855,11,2,StreamRiver,StreamRiver,0,,,34486,857,32853.9573
119,984651,6.981,748700712,1,1,6.207623156,15.0507,984659,984971,11d,859,,858,859,11,2,StreamRiver,StreamRiver,0,,,34487,858,6981.162968
120,984971,21.912,748700695,0,3,16.76498095,160.3458,984661,984589,11d,857,,859,857,11,2,StreamRiver,StreamRiver,0,,,34488,859,21912.76528
121,987101,23.796,747400581,1,2,20.47809467,154.0665,987099,987691,11d,862,,860,862,11,2,StreamRiver,StreamRiver,0,,,34489,860,23797.91953
122,987597,6.386,747400359,1,4,7.029665659,124.8552,987605,987805,11d,863,,861,863,11,2,StreamRiver,StreamRiver,0,,,34490,861,6385.608136
123,987691,33.977,747400528,0,3,23.39718445,424.0026,987689,988121,11d,864,,862,864,11,2,StreamRiver,StreamRiver,0,,,34491,862,33976.80962
124,987805,40.894,747400263,0,5,22.23127726,1525.6944,987821,991721,11d,867,,863,867,11,2,StreamRiver,StreamRiver,0,,,34492,863,40894.3258
125,988121,38.522,747400434,0,4,23.60566158,785.0565,988265,988145,11d,865,,864,865,11,2,StreamRiver,StreamRiver,0,,,34493,864,38522.86219
126,988145,11.313,747400423,0,4,6.49675078,866.4516,987605,987805,11d,863,,865,863,11,2,StreamRiver,StreamRiver,0,,,34494,865,11313.35032
127,990655,22.94,747400167,1,3,21.36280117,83.3634,990665,992165,11d,869,,866,869,11,2,StreamRiver,StreamRiver,0,,,34495,866,22939.80766
128,991721,45.706,747400201,0,5,23.35094232,2090.6388,991719,992205,11d,871,,867,871,11,2,StreamRiver,StreamRiver,0,,,34496,867,45707.16355
129,992139,25.071,747400073,1,3,23.38808254,108.1251,992653,992585,11d,872,,868,872,11,2,StreamRiver,Connector,0,,,34497,868,25071.4211
130,992165,29.667,747400126,0,4,22.95071801,280.5651,992179,992203,11d,870,,869,870,11,2,StreamRiver,StreamRiver,0,,,34498,869,29667.51719
131,992203,19.038,747400105,0,4,12.81250133,429.6897,992587,992587,11d,873,,870,873,11,2,StreamRiver,StreamRiver,0,,,34499,870,19037.52703
132,992205,32.1,747400188,0,5,15.62520901,2411.5959,992587,992587,11d,873,,871,873,11,2,StreamRiver,StreamRiver,0,,,34500,871,32099.35323
133,992585,23.885,747400025,0,4,16.61161861,663.219,992211,992989,11d,876,,872,876,11,2,StreamRiver,StreamRiver,0,,,34501,872,23885.1925
134,992587,14.251,747400104,0,5,6.787230544,2866.8312,992211,992989,11d,876,,873,876,11,2,StreamRiver,StreamRiver,0,,,34502,873,14250.58483
135,992875,7.928,747400001,0,5,3.483169515,3968.1828,992891,992915,11d,875,,874,875,11,2,StreamRiver,StreamRiver,0,,,34503,874,7927.683556
136,992915,36.471,747100013,0,5,14.60527778,8291.5038,992997,992997,11d,877,,875,877,11,2,StreamRiver,ArtificialPath,0,,,34504,875,36470.71635
137,992989,47.087,747400002,0,5,21.4612017,3943.4229,992875,992875,11d,874,,876,874,11,2,StreamRiver,StreamRiver,0,,,34505,876,47086.79273
138,992997,0.073,747100012,0,5,0.024002822,8291.6172,1596575,1595949,11d,1134,,877,1134,11,2,ArtificialPath,ArtificialPath,0,,,34506,877,72.53679217
139,996262,13.239,747500188,1,2,21.97020792,29.3022,996600,997492,11d,879,,878,879,11,2,StreamRiver,StreamRiver,0,,,34507,878,13239.11443
140,997492,27.481,747500172,0,3,20.68832268,213.9552,997534,997598,11d,880,,879,880,11,2,StreamRiver,StreamRiver,0,,,34508,879,27480.48027
141,997598,37.224,747500056,0,4,22.10347514,1651.7277,997602,998682,11d,881,,880,881,11,2,StreamRiver,StreamRiver,0,,,34509,880,37224.02211
142,998682,45.041,747500027,0,4,23.30815053,2365.4934,997624,998850,11d,882,,881,882,11,2,StreamRiver,StreamRiver,0,,,34510,881,45040.98372
143,998850,46.626,747500020,0,4,22.75144266,2796.0516,999202,999420,11d,883,,882,883,11,2,StreamRiver,StreamRiver,0,,,34511,882,46627.32241
144,999420,33.114,747500004,0,4,15.93143377,3280.0338,999426,999426,11d,884,,883,884,11,2,StreamRiver,StreamRiver,0,,,34512,883,33114.18682
145,999426,31.49,747500001,0,4,15.0035737,3524.1552,992891,992915,11d,875,,884,875,11,2,StreamRiver,StreamRiver,0,,,34513,884,31489.62901
146,1000799,32.061,746700001,0,4,19.41564696,2089.3743,1596279,21247638,11d,3884,,885,3884,11,2,ArtificialPath,ArtificialPath,0,,,34514,885,32061.15872
147,1001395,31.529,746700112,0,4,22.80690548,1178.4285,1001397,1001781,11d,890,,886,890,11,2,StreamRiver,StreamRiver,0,,,34515,886,31529.28939
148,1001433,28.985,746700148,0,4,23.11570263,958.3947,1001425,1001395,11d,886,,887,886,11,2,StreamRiver,StreamRiver,0,,,34516,887,28985.19626
149,1001473,27.96,746700205,0,4,20.32142175,630.5661,1001471,1001433,11d,887,,888,887,11,2,StreamRiver,StreamRiver,0,,,34517,888,27959.0343
150,1001765,33.236,746700041,0,4,23.38921006,1655.7975,1001763,1000799,11d,885,,889,885,11,2,ArtificialPath,ArtificialPath,0,,,34518,889,33236.0587
151,1001781,35,746700094,0,4,22.54144903,1315.9215,1001777,1001765,11d,889,,890,889,11,2,ArtificialPath,ArtificialPath,0,,,34519,890,35000.64184
152,1002085,27.237,746700232,0,3,23.05092918,292.7889,1002087,1001473,11d,888,,891,888,11,2,StreamRiver,StreamRiver,0,,,34520,891,27236.2064
153,1002191,16.457,746700263,1,1,34.59984553,65.8476,1002135,1002085,11d,891,,892,891,11,2,StreamRiver,StreamRiver,0,,,34521,892,16456.81941
154,1005459,26.544,749500228,1,2,22.89055069,78.4665,1005475,1005633,11d,894,,893,894,11,2,StreamRiver,StreamRiver,0,,,34522,893,26545.64317
155,1005633,29.423,749500109,0,4,19.49334853,746.5356,1006111,1006353,11d,898,,894,898,11,2,StreamRiver,StreamRiver,0,,,34523,894,29421.62391
156,1006027,22.09,749500354,1,2,21.79631709,35.1414,1005661,1006291,11d,896,,895,896,11,2,StreamRiver,StreamRiver,0,,,34524,895,22090.79334
157,1006291,31.459,749500269,0,4,23.70648973,336.9312,1006309,1006351,11d,897,,896,897,11,2,StreamRiver,StreamRiver,0,,,34525,896,31458.59932
158,1006351,8.425,749500247,0,4,5.61456433,410.4819,1006361,1006723,11d,899,,897,899,11,2,StreamRiver,StreamRiver,0,,,34526,897,8426.052844
159,1006353,45.327,749500085,0,4,23.29903749,1210.2741,1006361,1006723,11d,899,,898,899,11,2,StreamRiver,StreamRiver,0,,,34527,898,45327.44357
160,1006723,22.786,749500012,0,5,12.26013592,1829.5803,974880,975006,11d,826,,899,826,11,2,ArtificialPath,ArtificialPath,0,,,34528,899,22785.11672
161,1423102,50.895,749100002,0,6,22.85785139,4806.6084,1423104,1423104,11d,999,,998,999,11,2,ArtificialPath,ArtificialPath,0,,,34627,998,50893.54397
162,1423104,0.041,749100001,0,6,0.013756193,4806.6102,974898,974916,11d,823,,999,823,11,2,ArtificialPath,ArtificialPath,0,,,34628,999,40.53715618
163,1423722,12.246,749100723,1,2,10.64876445,38.754,1423732,1423894,11d,1001,,1000,1001,11,2,StreamRiver,StreamRiver,0,,,34629,1000,12245.33859
164,1423894,19.521,749100701,0,4,13.38700265,194.2092,1423898,1423898,11d,1003,,1001,1003,11,2,StreamRiver,StreamRiver,0,,,34630,1001,19521.23357
165,1423896,23.621,749100735,0,4,14.10985694,711.4419,1423898,1423898,11d,1003,,1002,1003,11,2,StreamRiver,StreamRiver,0,,,34631,1002,23621.58817
166,1423898,0.175,749100700,0,5,0.084555089,905.7123,1423906,1425510,11d,1009,,1003,1009,11,2,StreamRiver,StreamRiver,0,,,34632,1003,174.5289746
167,1424118,13.39,749100856,1,1,25.28941562,33.8022,1424024,1424876,11d,1005,,1004,1005,11,2,StreamRiver,StreamRiver,0,,,34633,1004,13389.71712
168,1424876,9.654,749100815,0,4,6.597631458,196.3818,1423954,1423896,11d,1002,,1005,1002,11,2,StreamRiver,StreamRiver,0,,,34634,1005,9653.667397
169,1425308,32.242,749100486,0,5,17.59369033,2236.1103,1425312,1423102,11d,998,,1006,998,11,2,StreamRiver,StreamRiver,0,,,34635,1006,32241.03166
170,1425320,15.209,749100176,0,5,7.508727,1903.0752,1425312,1423102,11d,998,,1007,998,11,2,StreamRiver,StreamRiver,0,,,34636,1007,15209.05098
171,1425458,25.347,749100190,0,5,20.03369764,1849.2273,1425438,1425320,11d,1007,,1008,1007,11,2,StreamRiver,StreamRiver,0,,,34637,1008,25348.12381
172,1425510,42.94,749100557,0,5,23.01311693,1667.2446,1425494,1425308,11d,1006,,1009,1006,11,2,StreamRiver,StreamRiver,0,,,34638,1009,42942.744
173,1425696,26.41,749100318,0,4,15.62354403,998.9154,1425694,1425458,11d,1008,,1010,1008,11,2,StreamRiver,StreamRiver,0,,,34639,1010,26411.98201
174,1425706,9.957,749100266,0,4,6.839933883,400.5585,1425694,1425458,11d,1008,,1011,1008,11,2,StreamRiver,StreamRiver,0,,,34640,1011,9957.349554
175,1425786,31.788,749100280,0,3,23.56114222,285.3027,1425776,1425706,11d,1011,,1012,1011,11,2,StreamRiver,StreamRiver,0,,,34641,1012,31787.5016
176,1425806,34.288,749100363,0,4,20.96816181,680.5152,1425804,1425696,11d,1010,,1013,1010,11,2,StreamRiver,StreamRiver,0,,,34642,1013,34286.25758
177,1426486,5.032,749100485,1,1,3.999655579,16.4736,1426480,1427348,11d,1015,,1014,1015,11,2,StreamRiver,StreamRiver,0,,,34643,1014,5031.816926
178,1427348,15.166,749100469,0,2,10.89572963,139.1913,1426446,1425806,11d,1013,,1015,1013,11,2,StreamRiver,StreamRiver,0,,,34644,1015,15165.66391
179,1427572,12.611,749100317,1,1,27.09582332,20.8341,1427546,1425786,11d,1012,,1016,1012,11,2,StreamRiver,StreamRiver,0,,,34645,1016,12611.47967
180,1528161,3.235,750301147,0,2,2.364498968,75.0789,1528403,1528197,11d,1019,,1017,1019,11,2,StreamRiver,ArtificialPath,0,,,34646,1017,3234.660829
181,1528167,12.937,750301159,1,1,10.80204629,18.378,1528161,1528161,11d,1017,,1018,1017,11,2,StreamRiver,StreamRiver,0,,,34647,1018,12937.17111
182,1528197,12.715,750301110,0,3,9.053964298,217.5345,1528201,1529491,11d,1022,,1019,1022,11,2,StreamRiver,StreamRiver,0,,,34648,1019,12714.78035
183,1528693,9.911,750301269,1,2,9.657192515,14.4117,1528697,1529667,11d,1030,,1020,1030,11,2,StreamRiver,StreamRiver,0,,,34649,1020,9910.930515
184,1529459,6.148,750301054,1,2,9.001781944,18.8451,1531303,1531145,11d,1062,,1021,1062,11,2,StreamRiver,ArtificialPath,0,,,34650,1021,6149.115782
185,1529491,9.181,750301073,0,3,5.681799202,327.708,1529505,1529541,11d,1025,,1022,1025,11,2,StreamRiver,StreamRiver,0,,,34651,1022,9181.02196
186,1529493,5.558,750301032,0,2,3.891222218,61.4196,1529505,1529541,11d,1025,,1023,1025,11,2,StreamRiver,StreamRiver,0,,,34652,1023,5558.706384
187,1529539,5.936,750300994,0,2,4.549211586,51.588,1529547,1529569,11d,1026,,1024,1026,11,2,StreamRiver,StreamRiver,0,,,34653,1024,5935.935791
188,1529541,5.106,750301009,0,3,3.051358145,466.9461,1529547,1529569,11d,1026,,1025,1026,11,2,StreamRiver,StreamRiver,0,,,34654,1025,5105.615428
189,1529569,2.046,750300987,0,3,1.190553321,532.0557,1529577,1529615,11d,1028,,1026,1028,11,2,StreamRiver,StreamRiver,0,,,34655,1026,2046.01829
190,1529573,8.629,750301164,1,1,7.667783798,14.4414,1529691,1529691,11d,1031,,1027,1031,11,2,StreamRiver,StreamRiver,0,,,34656,1027,8629.39226
191,1529615,2.997,750300978,0,3,1.655298199,548.2953,1529617,1529719,11d,1033,,1028,1033,11,2,StreamRiver,StreamRiver,0,,,34657,1028,2996.129583
192,1529631,7.456,750300972,1,2,6.989870443,23.1309,1529617,1529719,11d,1033,,1029,1033,11,2,StreamRiver,StreamRiver,0,,,34658,1029,7455.396834
193,1529667,16.592,750301193,0,4,10.68880749,181.3149,1529671,1529693,11d,1032,,1030,1032,11,2,StreamRiver,StreamRiver,0,,,34659,1030,16592.66375
194,1529691,8.356,750301162,0,2,6.335172359,28.3653,1529721,1529721,11d,1034,,1031,1034,11,2,StreamRiver,StreamRiver,0,,,34660,1031,8356.345326
195,1529693,4.536,750301167,0,4,2.627899416,268.1163,1529721,1529721,11d,1034,,1032,1034,11,2,StreamRiver,StreamRiver,0,,,34661,1032,4535.602984
